Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 114,4/0,5/1,16/1,24/1,36/1,51/1,56/2,61/2,65/2,71/2,77/2,82/2,86/4,98/4,112/4,119/4,124/4,131/5,152/5,158/5
Match 115,5/0,14/0,23/1,29/1,34/2,45/2,53/2,57/2,61/2,84/2,96/2,108/2,110/3,127/4,133/4,152/4,165/4,179/4,198/4,212/6
Match 116,6/0,13/0,27/0,39/0,46/0,59/0,74/0,85/0,98/0,110/0,124/0,131/0,137/1,150/1,156/1,163/2,176/4,179/5,187/6,195/6
Match 117,4/0,11/0,13/0,18/0,19/0,23/0,26/0,28/0,41/0,47/0,52/0,55/0,59/1,67/1,71/2,88/2,97/2,107/2,125/3,129/4
Match 118,2/1,6/1,20/1,25/1,36/2,38/3,42/3,44/3,51/3,59/3,63/3,68/4,72/5,74/5,78/6,80/7,91/8,97/9,104/10,N/A
Match 119,1/1,5/1,7/2,9/2,13/2,16/3,18/4,18/5,19/5,19/6,19/7,20/7,21/7,21/7,26/8,26/10,N/A,N/A,N/A,N/A
Match 120,6/0,22/0,32/0,38/0,45/0,54/0,61/1,67/1,75/1,84/1,90/2,101/2,105/3,118/3,124/3,134/3,153/3,163/3,168/4,178/4
Match 121,8/0,29/0,37/2,48/2,58/2,68/2,72/2,79/3,83/3,95/3,102/3,119/3,126/4,136/4,145/5,154/5,168/5,177/6,189/6,199/7
Match 122,2/0,10/0,18/0,35/0,46/1,46/2,48/2,54/2,54/2,56/3,60/3,60/4,62/5,65/5,68/5,76/5,89/5,94/7,100/7,104/9
Match 123,8/1,12/1,17/2,25/2,27/2,33/2,38/2,44/2,47/2,55/2,58/3,63/3,73/3,76/5,78/6,85/7,88/7,90/9,90/10,N/A
Match 124,0/0,14/0,20/0,27/0,29/0,38/0,42/0,48/0,57/0,68/1,70/1,77/2,81/3,83/5,91/5,93/5,100/5,108/5,112/7,122/8
Match 125,9/0,9/1,9/2,15/2,27/3,33/3,41/3,55/3,59/3,70/3,73/3,85/4,93/4,100/4,105/4,117/4,124/5,128/6,144/6,157/6
Match 126,12/0,19/1,31/1,48/1,57/1,63/1,65/3,69/3,74/3,78/3,87/3,93/3,96/4,100/4,109/4,112/6,118/6,137/6,148/6,159/6
Match 127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 128,0/1,0/2,4/2,10/2,15/3,23/4,26/4,34/4,35/6,52/6,56/6,61/6,68/6,73/6,86/6,95/6,101/6,104/7,117/8,132/9
Match 129,3/1,7/1,16/1,18/1,30/1,36/2,39/2,43/2,46/3,51/4,56/5,59/5,66/5,68/6,77/6,81/7,88/7,93/7,99/7,104/9
Match 130,2/0,10/0,24/0,31/0,41/0,53/0,61/0,74/0,78/1,86/1,89/3,90/4,101/4,106/4,112/4,128/4,131/5,139/6,152/7,163/8
Match 131,4/0,8/1,12/1,23/1,34/1,40/1,53/1,64/1,74/1,86/1,92/2,96/2,102/3,105/3,110/3,116/3,124/3,133/3,147/4,158/5
Match 132,8/1,8/2,10/2,17/2,22/2,29/3,34/3,38/4,41/4,44/5,46/6,55/7,61/7,65/7,68/8,70/10,N/A,N/A,N/A,N/A
Match 133,10/0,17/0,22/1,26/1,43/1,58/2,69/2,80/2,94/2,100/3,101/3,105/3,111/4,114/4,117/5,123/5,130/6,133/8,139/9,141/10
Match 134,5/1,7/1,7/2,12/2,16/3,23/4,26/8,27/8,30/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 135,1/0,13/1,18/2,29/2,39/2,52/2,69/2,82/3,101/3,122/5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
